                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                  1.349,                 1.4244,                 1.1204,                0.67053,                0.52554,                0.47782,                0.29609,                 1.2449,                 1.4307,                 1.1528,              0.0011535,              0.0011535,              0.0011535
                     81,                 1.3204,                 1.4869,                 1.1605,                0.73261,                0.54159,                0.56534,                0.37786,                 1.1775,                  1.273,                 1.1206,              0.0011522,              0.0011522,              0.0011522
                     82,                 1.3281,                 1.3908,                 1.1454,                0.73619,                0.54962,                0.59861,                0.40726,                  1.159,                 1.2393,                  1.115,               0.001151,               0.001151,               0.001151
                     83,                 1.2934,                 1.3903,                 1.1315,                0.71797,                0.55004,                0.58342,                0.40386,                 1.1071,                  1.212,                 1.0973,              0.0011498,              0.0011498,              0.0011498
                     84,                 1.3016,                 1.3533,                 1.1009,                0.80202,                0.53191,                0.56988,                0.37802,                 1.1718,                 1.2475,                  1.109,              0.0011485,              0.0011485,              0.0011485
                     85,                 1.2486,                 1.2832,                 1.1015,                0.80744,                 0.5373,                0.59266,                0.39314,                  1.166,                 1.1938,                 1.1013,              0.0011473,              0.0011473,              0.0011473
                     86,                 1.2842,                 1.3555,                  1.142,                0.75161,                0.56156,                0.60709,                 0.4072,                 1.1094,                  1.156,                 1.0861,              0.0011461,              0.0011461,              0.0011461
                     87,                 1.1912,                 1.2722,                 1.0804,                 0.7351,                0.57143,                0.60495,                0.41855,                  1.058,                 1.1875,                 1.0769,              0.0011448,              0.0011448,              0.0011448
                     88,                  1.293,                 1.2973,                 1.1205,                0.78259,                0.54218,                0.60274,                0.41138,                 1.1339,                 1.2165,                 1.0941,              0.0011436,              0.0011436,              0.0011436
                     89,                 1.2571,                 1.2718,                  1.088,                0.77291,                0.54407,                 0.6041,                0.41478,                 1.1314,                 1.2248,                 1.0884,              0.0011423,              0.0011423,              0.0011423
                     90,                 1.1796,                 1.2215,                 1.0581,                0.77814,                 0.5162,                0.61092,                0.42247,                 1.0979,                 1.1601,                 1.0745,              0.0011411,              0.0011411,              0.0011411
                     91,                 1.2173,                 1.2569,                 1.1045,                0.79119,                0.54937,                0.63016,                 0.4397,                 1.0785,                 1.1503,                  1.066,              0.0011399,              0.0011399,              0.0011399
                     92,                 1.1913,                 1.1993,                  1.061,                0.76203,                0.57685,                0.62417,                0.43435,                 1.1211,                 1.1513,                 1.0835,              0.0011386,              0.0011386,              0.0011386
                     93,                 1.2217,                 1.2513,                 1.0716,                0.74718,                0.51356,                0.60883,                0.41851,                 1.1352,                 1.2033,                 1.0905,              0.0011374,              0.0011374,              0.0011374
                     94,                 1.2766,                 1.2594,                 1.1153,                0.68278,                0.57332,                0.60379,                0.41382,                 1.1232,                  1.184,                 1.0794,              0.0011362,              0.0011362,              0.0011362
                     95,                 1.2412,                 1.1722,                 1.0964,                0.86546,                0.52194,                 0.6326,                0.44161,                 1.1046,                 1.0383,                 1.0653,              0.0011349,              0.0011349,              0.0011349
                     96,                 1.2921,                 1.2837,                 1.1068,                0.85758,                0.54858,                0.65522,                 0.4431,                  1.111,                 1.1875,                 1.0771,              0.0011337,              0.0011337,              0.0011337
                     97,                 1.2192,                 1.2704,                 1.0602,                0.83561,                 0.5822,                0.66927,                0.46486,                 1.0971,                 1.1432,                 1.0716,              0.0011324,              0.0011324,              0.0011324
                     98,                 1.2217,                 1.2314,                 1.0881,                0.71391,                0.58945,                0.61565,                0.43454,                 1.0439,                 1.0823,                 1.0557,              0.0011312,              0.0011312,              0.0011312
